Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/10000 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [64, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [64, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 32%|███▏      | 3199/10000 [1:33:45<3:19:56,  1.76s/it]
total loss: 5.7704500436782835 | trans loss: 5.7704500436782835
total loss: 3.9777559423446656 | trans loss: 3.9777559423446656
total loss: 3.9708050990104677 | trans loss: 3.9708050990104677
total loss: 3.973659372329712 | trans loss: 3.973659372329712
total loss: 3.9660551738739014 | trans loss: 3.9660551738739014
total loss: 3.9521247124671937 | trans loss: 3.9521247124671937
total loss: 3.9414078187942505 | trans loss: 3.9414078187942505
total loss: 3.962750461101532 | trans loss: 3.962750461101532
total loss: 3.915626859664917 | trans loss: 3.915626859664917
total loss: 3.936840064525604 | trans loss: 3.936840064525604
total loss: 3.953312954902649 | trans loss: 3.953312954902649
total loss: 3.9872034406661987 | trans loss: 3.9872034406661987
total loss: 4.000697267055512 | trans loss: 4.000697267055512
total loss: 3.9185848474502563 | trans loss: 3.9185848474502563
total loss: 3.99874085187912 | trans loss: 3.99874085187912
total loss: 3.953723647594452 | trans loss: 3.953723647594452
total loss: 3.9885881900787354 | trans loss: 3.9885881900787354
total loss: 3.953475215435028 | trans loss: 3.953475215435028
total loss: 3.9825388312339784 | trans loss: 3.9825388312339784
total loss: 3.926253840923309 | trans loss: 3.926253840923309
total loss: 3.9779521775245668 | trans loss: 3.9779521775245668
total loss: 3.89933509349823 | trans loss: 3.89933509349823
total loss: 3.953052101135254 | trans loss: 3.953052101135254
total loss: 3.947612156867981 | trans loss: 3.947612156867981
total loss: 3.943191487789154 | trans loss: 3.943191487789154
total loss: 3.964462008476257 | trans loss: 3.964462008476257
total loss: 3.9785471987724303 | trans loss: 3.9785471987724303
total loss: 3.9362465858459474 | trans loss: 3.9362465858459474
total loss: 3.9322535943984986 | trans loss: 3.9322535943984986
total loss: 3.961213700771332 | trans loss: 3.961213700771332
total loss: 3.9567790627479553 | trans loss: 3.9567790627479553
total loss: 3.9419380402565003 | trans loss: 3.9419380402565003
total loss: 3.9553990817070006 | trans loss: 3.9553990817070006
total loss: 3.932991020679474 | trans loss: 3.932991020679474
total loss: 3.8803531527519226 | trans loss: 3.8803531527519226
total loss: 3.9367469263076784 | trans loss: 3.9367469263076784
total loss: 3.948276333808899 | trans loss: 3.948276333808899
total loss: 3.9482103419303893 | trans loss: 3.9482103419303893
total loss: 3.9769557237625124 | trans loss: 3.9769557237625124
total loss: 3.944096519947052 | trans loss: 3.944096519947052
total loss: 3.9633209824562075 | trans loss: 3.9633209824562075
total loss: 3.925408754348755 | trans loss: 3.925408754348755
total loss: 3.927347414493561 | trans loss: 3.927347414493561
total loss: 3.9476217794418336 | trans loss: 3.9476217794418336
total loss: 3.946796314716339 | trans loss: 3.946796314716339
total loss: 3.9902502870559693 | trans loss: 3.9902502870559693
total loss: 3.974234690666199 | trans loss: 3.974234690666199
total loss: 3.927608277797699 | trans loss: 3.927608277797699
total loss: 3.945191750526428 | trans loss: 3.945191750526428
total loss: 3.92057733297348 | trans loss: 3.92057733297348
total loss: 3.9405175399780275 | trans loss: 3.9405175399780275
total loss: 3.9354172277450563 | trans loss: 3.9354172277450563
total loss: 3.9557346320152282 | trans loss: 3.9557346320152282
total loss: 3.9287696838378907 | trans loss: 3.9287696838378907
total loss: 3.9359271335601806 | trans loss: 3.9359271335601806
total loss: 3.9647591590881346 | trans loss: 3.9647591590881346
total loss: 3.97955335855484 | trans loss: 3.97955335855484
total loss: 3.949595808982849 | trans loss: 3.949595808982849
total loss: 3.9430991578102113 | trans loss: 3.9430991578102113
total loss: 3.9728138208389283 | trans loss: 3.9728138208389283
total loss: 3.9210883522033693 | trans loss: 3.9210883522033693
total loss: 3.9317125988006594 | trans loss: 3.9317125988006594
{'lr': np.float64(9.574195810508491e-05),
 'total_loss': np.float64(3.961248557305336),
 'trans_loss': np.float64(3.961248557305336)}
Rank [0], Epoch [2]: Training on train dataset
 32%|███▏      | 3199/10000 [1:35:19<3:11:03,  1.69s/it]
total loss: 3.951566712856293 | trans loss: 3.951566712856293
total loss: 3.9810717248916627 | trans loss: 3.9810717248916627
total loss: 3.938151342868805 | trans loss: 3.938151342868805
total loss: 3.91132616519928 | trans loss: 3.91132616519928
total loss: 3.967064061164856 | trans loss: 3.967064061164856
total loss: 3.946785171031952 | trans loss: 3.946785171031952
total loss: 3.933777596950531 | trans loss: 3.933777596950531
total loss: 3.904691424369812 | trans loss: 3.904691424369812
total loss: 3.9924667644500733 | trans loss: 3.9924667644500733
total loss: 3.9273869800567627 | trans loss: 3.9273869800567627
total loss: 3.909751982688904 | trans loss: 3.909751982688904
total loss: 3.9468160581588747 | trans loss: 3.9468160581588747
total loss: 3.9131256914138794 | trans loss: 3.9131256914138794
total loss: 3.9036449289321897 | trans loss: 3.9036449289321897
total loss: 3.94958153963089 | trans loss: 3.94958153963089
total loss: 3.934502189159393 | trans loss: 3.934502189159393
total loss: 3.918271498680115 | trans loss: 3.918271498680115
total loss: 3.948553569316864 | trans loss: 3.948553569316864
total loss: 3.9303064560890197 | trans loss: 3.9303064560890197
total loss: 3.9581917977333068 | trans loss: 3.9581917977333068
total loss: 3.921747589111328 | trans loss: 3.921747589111328
total loss: 3.9551533126831053 | trans loss: 3.9551533126831053
total loss: 3.9269282579422 | trans loss: 3.9269282579422
total loss: 3.9158640098571778 | trans loss: 3.9158640098571778
total loss: 3.9070782899856566 | trans loss: 3.9070782899856566
total loss: 3.941633491516113 | trans loss: 3.941633491516113
total loss: 3.918207485675812 | trans loss: 3.918207485675812
total loss: 3.9379517602920533 | trans loss: 3.9379517602920533
total loss: 3.940063920021057 | trans loss: 3.940063920021057
total loss: 3.9129888105392454 | trans loss: 3.9129888105392454
total loss: 3.9281378626823424 | trans loss: 3.9281378626823424
total loss: 3.9109234499931333 | trans loss: 3.9109234499931333
total loss: 3.907550721168518 | trans loss: 3.907550721168518
total loss: 3.9338203930854796 | trans loss: 3.9338203930854796
total loss: 3.9561595726013183 | trans loss: 3.9561595726013183
total loss: 3.8970561838150024 | trans loss: 3.8970561838150024
total loss: 3.907645025253296 | trans loss: 3.907645025253296
total loss: 3.9215660190582273 | trans loss: 3.9215660190582273
total loss: 3.9231441116333006 | trans loss: 3.9231441116333006
total loss: 3.933778920173645 | trans loss: 3.933778920173645
total loss: 3.9373327779769896 | trans loss: 3.9373327779769896
total loss: 3.9285934591293334 | trans loss: 3.9285934591293334
total loss: 3.9119448375701906 | trans loss: 3.9119448375701906
total loss: 3.917875542640686 | trans loss: 3.917875542640686
total loss: 3.923264489173889 | trans loss: 3.923264489173889
total loss: 3.9047483515739443 | trans loss: 3.9047483515739443
total loss: 3.92501633644104 | trans loss: 3.92501633644104
total loss: 3.9431468534469603 | trans loss: 3.9431468534469603
total loss: 3.9199501776695254 | trans loss: 3.9199501776695254
total loss: 3.9630684781074526 | trans loss: 3.9630684781074526
total loss: 3.942142171859741 | trans loss: 3.942142171859741
total loss: 3.9400159907341004 | trans loss: 3.9400159907341004
total loss: 3.9552140998840333 | trans loss: 3.9552140998840333
total loss: 3.9400881791114806 | trans loss: 3.9400881791114806
total loss: 3.9311823725700377 | trans loss: 3.9311823725700377
total loss: 3.922048089504242 | trans loss: 3.922048089504242
total loss: 3.911195378303528 | trans loss: 3.911195378303528
total loss: 3.941165101528168 | trans loss: 3.941165101528168
total loss: 3.9325120520591734 | trans loss: 3.9325120520591734
total loss: 3.919346525669098 | trans loss: 3.919346525669098
total loss: 3.9133664917945863 | trans loss: 3.9133664917945863
total loss: 3.8931901359558108 | trans loss: 3.8931901359558108
total loss: 3.9225944590568544 | trans loss: 3.9225944590568544
total loss: 3.924175810813904 | trans loss: 3.924175810813904
total loss: 3.926896529197693 | trans loss: 3.926896529197693
total loss: 3.8849530601501465 | trans loss: 3.8849530601501465
total loss: 3.939648520946503 | trans loss: 3.939648520946503
total loss: 3.9264045667648317 | trans loss: 3.9264045667648317
total loss: 3.906571831703186 | trans loss: 3.906571831703186
total loss: 3.917927439212799 | trans loss: 3.917927439212799
total loss: 3.9015862011909483 | trans loss: 3.9015862011909483
total loss: 3.9266233825683594 | trans loss: 3.9266233825683594
total loss: 3.9294312524795534 | trans loss: 3.9294312524795534
total loss: 3.8939951729774473 | trans loss: 3.8939951729774473
total loss: 3.9225959300994875 | trans loss: 3.9225959300994875
total loss: 3.8949154114723203 | trans loss: 3.8949154114723203
total loss: 3.920819342136383 | trans loss: 3.920819342136383
total loss: 3.87865656375885 | trans loss: 3.87865656375885
total loss: 3.9170294332504274 | trans loss: 3.9170294332504274
total loss: 3.959255213737488 | trans loss: 3.959255213737488
total loss: 3.9097746658325194 | trans loss: 3.9097746658325194
total loss: 3.9370971059799196 | trans loss: 3.9370971059799196
total loss: 3.90493200302124 | trans loss: 3.90493200302124
total loss: 3.8995367431640626 | trans loss: 3.8995367431640626
total loss: 3.915575232505798 | trans loss: 3.915575232505798
total loss: 3.9499721908569336 | trans loss: 3.9499721908569336
total loss: 3.953759241104126 | trans loss: 3.953759241104126
total loss: 3.913715317249298 | trans loss: 3.913715317249298
total loss: 3.9174114871025085 | trans loss: 3.9174114871025085
total loss: 3.9078609442710874 | trans loss: 3.9078609442710874
total loss: 3.925339684486389 | trans loss: 3.925339684486389
total loss: 3.90823703289032 | trans loss: 3.90823703289032
total loss: 3.923681545257568 | trans loss: 3.923681545257568
total loss: 3.8976755952835083 | trans loss: 3.8976755952835083
total loss: 3.9157249832153322 | trans loss: 3.9157249832153322
total loss: 3.929802794456482 | trans loss: 3.929802794456482
total loss: 3.9053456950187684 | trans loss: 3.9053456950187684
total loss: 3.8948541188240053 | trans loss: 3.8948541188240053
total loss: 3.906984558105469 | trans loss: 3.906984558105469
total loss: 3.9127263903617857 | trans loss: 3.9127263903617857
{'lr': np.float64(8.747748107081876e-05),
 'total_loss': np.float64(3.925049281859398),
 'trans_loss': np.float64(3.925049281859398)}
Rank [0], Epoch [3]: Training on train dataset
 32%|███▏      | 3199/10000 [1:33:55<3:09:14,  1.67s/it]
total loss: 3.8870558619499205 | trans loss: 3.8870558619499205
total loss: 3.919499464035034 | trans loss: 3.919499464035034
total loss: 3.910459129810333 | trans loss: 3.910459129810333
total loss: 3.928500063419342 | trans loss: 3.928500063419342
total loss: 3.9270892190933226 | trans loss: 3.9270892190933226
total loss: 3.9221270847320557 | trans loss: 3.9221270847320557
total loss: 3.926130495071411 | trans loss: 3.926130495071411
total loss: 3.9044348192214966 | trans loss: 3.9044348192214966
total loss: 3.9039360022544862 | trans loss: 3.9039360022544862
total loss: 3.866348879337311 | trans loss: 3.866348879337311
total loss: 3.9203211188316347 | trans loss: 3.9203211188316347
total loss: 3.9277507185935976 | trans loss: 3.9277507185935976
total loss: 3.9259589672088624 | trans loss: 3.9259589672088624
total loss: 3.892564733028412 | trans loss: 3.892564733028412
total loss: 3.934815216064453 | trans loss: 3.934815216064453
total loss: 3.908446865081787 | trans loss: 3.908446865081787
total loss: 3.9122547149658202 | trans loss: 3.9122547149658202
total loss: 3.910716423988342 | trans loss: 3.910716423988342
total loss: 3.8652109408378603 | trans loss: 3.8652109408378603
total loss: 3.9080808997154235 | trans loss: 3.9080808997154235
total loss: 3.867160670757294 | trans loss: 3.867160670757294
total loss: 3.887771725654602 | trans loss: 3.887771725654602
total loss: 3.882381007671356 | trans loss: 3.882381007671356
total loss: 3.9266862082481384 | trans loss: 3.9266862082481384
total loss: 3.892995159626007 | trans loss: 3.892995159626007
total loss: 3.9267791891098023 | trans loss: 3.9267791891098023
total loss: 3.9054856181144713 | trans loss: 3.9054856181144713
total loss: 3.9187951040267945 | trans loss: 3.9187951040267945
total loss: 3.907088975906372 | trans loss: 3.907088975906372
total loss: 3.929844024181366 | trans loss: 3.929844024181366
total loss: 3.898645541667938 | trans loss: 3.898645541667938
total loss: 3.9056423711776733 | trans loss: 3.9056423711776733
total loss: 3.872277603149414 | trans loss: 3.872277603149414
total loss: 3.909648048877716 | trans loss: 3.909648048877716
total loss: 3.9121371364593505 | trans loss: 3.9121371364593505
total loss: 3.867409415245056 | trans loss: 3.867409415245056
total loss: 3.887137062549591 | trans loss: 3.887137062549591
total loss: 3.884573335647583 | trans loss: 3.884573335647583
total loss: 3.9048342418670656 | trans loss: 3.9048342418670656
total loss: 3.9083987784385683 | trans loss: 3.9083987784385683
total loss: 3.9102720952034 | trans loss: 3.9102720952034
total loss: 3.914670205116272 | trans loss: 3.914670205116272
total loss: 3.8753156065940857 | trans loss: 3.8753156065940857
total loss: 3.8748284578323364 | trans loss: 3.8748284578323364
total loss: 3.9266568875312804 | trans loss: 3.9266568875312804
total loss: 3.920803711414337 | trans loss: 3.920803711414337
total loss: 3.897760260105133 | trans loss: 3.897760260105133
total loss: 3.890653417110443 | trans loss: 3.890653417110443
total loss: 3.8912575149536135 | trans loss: 3.8912575149536135
total loss: 3.876049380302429 | trans loss: 3.876049380302429
total loss: 3.9164566588401795 | trans loss: 3.9164566588401795
total loss: 3.8970763373374937 | trans loss: 3.8970763373374937
total loss: 3.8712015676498415 | trans loss: 3.8712015676498415
total loss: 3.8868097639083863 | trans loss: 3.8868097639083863
total loss: 3.918761947154999 | trans loss: 3.918761947154999
total loss: 3.9121692514419557 | trans loss: 3.9121692514419557
total loss: 3.9312919926643373 | trans loss: 3.9312919926643373
total loss: 3.883900806903839 | trans loss: 3.883900806903839
total loss: 3.907516586780548 | trans loss: 3.907516586780548
total loss: 3.925197057723999 | trans loss: 3.925197057723999
total loss: 3.926029484272003 | trans loss: 3.926029484272003
total loss: 3.8864532256126405 | trans loss: 3.8864532256126405
total loss: 3.8810350584983824 | trans loss: 3.8810350584983824
total loss: 3.8849276089668274 | trans loss: 3.8849276089668274
total loss: 3.9264413261413575 | trans loss: 3.9264413261413575
total loss: 3.878302502632141 | trans loss: 3.878302502632141
total loss: 3.912713558673859 | trans loss: 3.912713558673859
total loss: 3.9111273169517515 | trans loss: 3.9111273169517515
total loss: 3.8923404908180235 | trans loss: 3.8923404908180235
total loss: 3.8970790886878968 | trans loss: 3.8970790886878968
total loss: 3.864721019268036 | trans loss: 3.864721019268036
total loss: 3.8745043301582336 | trans loss: 3.8745043301582336
total loss: 3.8968509435653687 | trans loss: 3.8968509435653687
total loss: 3.891457004547119 | trans loss: 3.891457004547119
total loss: 3.9197899436950685 | trans loss: 3.9197899436950685
total loss: 3.913664059638977 | trans loss: 3.913664059638977
total loss: 3.8946777462959288 | trans loss: 3.8946777462959288
total loss: 3.885470850467682 | trans loss: 3.885470850467682
total loss: 3.900911204814911 | trans loss: 3.900911204814911
total loss: 3.87576295375824 | trans loss: 3.87576295375824
total loss: 3.901465895175934 | trans loss: 3.901465895175934
total loss: 3.8865799498558045 | trans loss: 3.8865799498558045
total loss: 3.897836489677429 | trans loss: 3.897836489677429
total loss: 3.8769578099250794 | trans loss: 3.8769578099250794
total loss: 3.9276182579994203 | trans loss: 3.9276182579994203
total loss: 3.8812315583229067 | trans loss: 3.8812315583229067
total loss: 3.8986532950401305 | trans loss: 3.8986532950401305
total loss: 3.853933746814728 | trans loss: 3.853933746814728
total loss: 3.877845048904419 | trans loss: 3.877845048904419
total loss: 3.9072086238861083 | trans loss: 3.9072086238861083
total loss: 3.9189063143730163 | trans loss: 3.9189063143730163
total loss: 3.9250356411933898 | trans loss: 3.9250356411933898
total loss: 3.8745065188407897 | trans loss: 3.8745065188407897
total loss: 3.9139879751205444 | trans loss: 3.9139879751205444
total loss: 3.8998582696914674 | trans loss: 3.8998582696914674
total loss: 3.8658147978782655 | trans loss: 3.8658147978782655
total loss: 3.902044641971588 | trans loss: 3.902044641971588
total loss: 3.8721029996871947 | trans loss: 3.8721029996871947
total loss: 3.8960033226013184 | trans loss: 3.8960033226013184
total loss: 3.9074794602394105 | trans loss: 3.9074794602394105
{'lr': np.float64(7.559339055208136e-05),
 'total_loss': np.float64(3.9002537267684936),
 'trans_loss': np.float64(3.9002537267684936)}
Rank [0], Epoch [4]: Training on train dataset
  6%|▌         | 606/10000 [17:45<4:31:02,  1.73s/it]
total loss: 3.9025272274017335 | trans loss: 3.9025272274017335
